ID,Hemisphere,Region,Punch,Cell_Type,Location,AntPost,DorVen,Organ,Bulk_main,Sort_main,CTX_BG_HIP_relationship,Note
7669_R_sec2_Put_Bulk,R,Put,sec2,Bulk,C,Post,NA,BG,1,0,0,NA
7669_R_sec2_GP_Bulk,R,GP,sec2,Bulk,NA,Post,NA,BG,1,0,0,NA
7669_R_sec2_Thal_Bulk,R,Thal,sec2,Bulk,NA,NA,NA,THAL,1,0,0,NA
7669_Liver_Bulk,M,Liver,1,Bulk,NA,NA,NA,LIVER,1,0,0,NA
7669_L_Cb2_Bulk,L,Cb,2,Bulk,NA,NA,NA,CB,1,0,0,NA
7669_L_Skin_Bulk,L,Skin,1,Bulk,NA,NA,NA,SKIN,1,0,0,NA
7669_L_Kidney_Bulk,L,Kidney,1,Bulk,NA,NA,NA,KIDNEY,1,0,0,NA
7669_R_Cb_2_Bulk,R,Cb,2,Bulk,NA,NA,NA,CB,1,0,0,NA
7669_R_Skin_Bulk,R,Skin,1,Bulk,NA,NA,NA,SKIN,1,0,0,NA
7669_R_kidney_Bulk,R,kidney,1,Bulk,NA,NA,NA,KIDNEY,1,0,0,NA
7669_L_Adrenal_Bulk,L,Adrenal,1,Bulk,NA,NA,NA,ADRENAL,1,0,0,NA
7669_R_Adrenal_Bulk,R,Adrenal,1,Bulk,NA,NA,NA,ADRENAL,1,0,0,NA
7669_R_2_Thal_Bulk,R,Thal,sec2,Bulk,NA,NA,NA,THAL,0,0,0,LOW_INPUT
7669_R_2_Put2_Bulk,R,Put,sec2,Bulk,C,Post,NA,BG,0,0,0,LOW_INPUT
7669_R_P_1_DLX1,R,P,1,DLX1,C,Post,Dor,CTX,0,1,0,NA
7669_R_P_1_TBR1,R,P,1,TBR1,C,Post,Dor,CTX,0,1,1,NA
7669_R_F_1_DLX1,R,F,1,DLX1,NA,Ant,NA,CTX,0,1,0,NA
7669_R_P_9_DLX,R,P,9,DLX1,NEAR_PD,Post,Dor,CTX,0,0,0,NA
7669_R_P_17_DLX1,R,P,17,DLX1,FAR_PV,Post,Dor,CTX,0,0,0,NA
7669_R_O_10_DLX1,R,O,10,DLX1,FAR_V,Post,NA,CTX,0,0,0,NA
7669_L_O_1_DLX1,L,O,1,DLX1,NA,Post,NA,CTX,0,1,0,NA
JGG,NA,NA,NA,Bulk,NA,NA,NA,JGG,0,0,0,NA
