"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TSPAN7",0.0268792325769743,-0.386385567368078,0,0.2,1
"MUC3A",0.0270322084090022,0.496826132452233,0.625,0.28,1
"ZNF714",0.0272994249526129,-0.644769404269047,0.125,0.32,1
"AGPS",0.0275777989811588,-0.261582001556223,0,0.2,1
"MAST3",0.0275777989811588,-0.261582001556223,0,0.2,1
"MPLKIP",0.027810473415047,0.63465217789942,0.312,0,1
"ESRRG",0.0280791985097628,-0.457797734115436,0,0.2,1
"ENDOD1",0.02809729328534,-0.588438764000717,0.062,0.28,1
"FMNL3",0.028297651089085,-0.671981006181279,0.125,0.28,1
"HHIP",0.0285388892592006,-0.410882878204269,0,0.2,1
"SORT1",0.0285488976956288,-0.65314987200507,0.062,0.32,1
"SYNRG",0.0285983571540833,0.424965000586303,0.312,0,1
"CUL2",0.0286294991664301,-0.838742514679586,0,0.24,1
"FBN1",0.0287610877047989,-0.780144226085575,0.062,0.32,1
"CTNNB1",0.0289656545748696,-0.583675676327797,0.062,0.32,1
"APBB2",0.028997844257582,-0.386385567368078,0,0.2,1
"ASRGL1",0.0290574535415557,-0.578099580808072,0.188,0.48,1
"AIG1",0.029409487960093,-0.683437284056217,0,0.24,1
"CASP8AP2",0.029614069320796,-0.926606701125514,0.062,0.44,1
"MYO9A",0.0300881983340298,-0.718746299331725,0.25,0.52,1
"UROC1",0.0303363515823816,-0.272283954618323,0,0.2,1
"ZNF398",0.030482935558101,-0.622890444368849,0,0.2,1
"BEND6",0.0305569568127688,-0.572687613608509,0,0.2,1
"ANKS3",0.0306719177280065,0.955981659567828,0.312,0.04,1
"LSS",0.0307407879678344,-0.320661488419026,0,0.2,1
"BROX",0.0310984800953145,-0.49476616381022,0,0.2,1
"RCAN2",0.0316593957592568,-0.421750315495965,0,0.2,1
"RAB30",0.0321668385043333,-0.608614400647011,0.062,0.32,1
"TMEM245",0.0322473665461821,-0.622864430711008,0.062,0.32,1
"SGIP1",0.0326177673256281,-0.729117988058518,0.188,0.36,1
"CREB1",0.0328142768734275,-0.618589279492744,0,0.2,1
"PNMA2",0.0328516733036098,-0.607478142007621,0.188,0.36,1
"LRP1",0.0329747126632394,-0.731412585468144,0.125,0.32,1
"SCAMP1",0.0329905551917132,-0.582363482286339,0.188,0.4,1
"PTPRD",0.0330431347202936,-0.697201689673942,0.25,0.52,1
"VPS50",0.0335303452292414,-0.587500040848521,0.062,0.24,1
"FKBP3",0.0335661452727423,-0.608322391210906,0.125,0.36,1
"TEX10",0.0338321615149216,-0.672162344387399,0.062,0.28,1
"TOB2",0.0353933393728987,-0.572937114401141,0,0.24,1
"PTPRE",0.0354246029995733,-0.710007976345471,0,0.24,1
"USP31",0.0354408680106272,-0.728612701080216,0.062,0.24,1
"GRIA4",0.0357141458380912,0.644378538108248,0.688,0.48,1
"VPS45",0.0359435166999499,-0.489057076367021,0,0.2,1
"ZHX1",0.0366145185288416,-0.613599179213367,0,0.2,1
"HNRNPA0",0.0367480944916676,-0.434011537776104,0,0.2,1
"EIF1AX",0.0369031478769106,-0.448642310829464,0,0.2,1
"HERC2",0.0371143248579749,-0.592703651390394,0.438,0.72,1
"PABPC1L",0.0373403911340229,0.478426268693707,0.312,0,1
"PCNT",0.0375550631687845,-0.630729226332917,0.125,0.28,1
"ATG7",0.0376170843332313,-0.671507081464196,0.25,0.4,1
"IL7",0.0377522662740149,-0.69182449618973,0,0.2,1
"RSBN1",0.0378493086093316,-0.607936060857155,0,0.2,1
"SPPL2A",0.0379200062065496,-0.58598425661635,0,0.2,1
"CDC16",0.0380499105836134,-0.46100312399628,0,0.2,1
"NDUFB1",0.0381072265124061,-0.472521550235243,0,0.2,1
"LRRTM2",0.0381578585982058,-0.697550554404207,0,0.2,1
"DPH6",0.0383386045342408,-0.37055215683432,0,0.2,1
"ZNF207",0.0384405597764975,-0.573503531991239,0.438,0.52,1
"ZDHHC14",0.0385009558502309,-0.574567187707546,0.125,0.36,1
"FGD1",0.0385783183313367,-0.406987949505539,0,0.24,1
"NOL9",0.0387280108808757,-0.545793489109921,0,0.2,1
"CASKIN1",0.0388853175708212,-0.360757528560275,0,0.2,1
"MTUS1",0.0389224056472808,-0.720281482548345,0.125,0.36,1
"NPAS2",0.0390798215869481,0.881761335507295,0.312,0.04,1
"EXT1",0.0395698614490515,-0.656588227605289,0.062,0.2,1
"ADCY3",0.0396249796128976,0.764281880964865,0.375,0,1
"CRY2",0.0398494608566487,-0.368372703900911,0,0.2,1
"SOS2",0.0401530059619681,-0.488660307678987,0,0.2,1
"ZNF510",0.0404945152309344,-0.770812013098385,0.062,0.28,1
"SCRG1",0.0404997976924594,-0.545878547404477,0.062,0.2,1
"ZNF577",0.040571851094135,-0.569951820401336,0,0.24,1
"CTPS1",0.0406343988696055,-0.652220214068388,0.062,0.24,1
"UTP6",0.0408441857025042,-0.300099985823305,0,0.2,1
"HMGN2",0.0412805629314637,-0.560815443870872,0,0.2,1
"SLC12A6",0.0413831022507538,0.641705684118618,0.375,0.16,1
"NRBP2",0.041449240434246,-0.604166165432115,0,0.2,1
"CATSPER2",0.0415232294927157,-0.724685929172594,0.188,0.56,1
"PRPF8",0.0415378691097599,0.743388223092907,0.375,0.12,1
"MAPRE2",0.0415899109233949,-0.556787866007023,0.125,0.36,1
"NECAB1",0.0417782591390627,-0.645791008098165,0.062,0.28,1
"ROBO1",0.0417823794041818,-0.596943004971397,0.062,0.2,1
"SNF8",0.0418780603787338,-0.373957135105361,0,0.2,1
"DIDO1",0.0420924751885168,-0.483576137989151,0,0.2,1
"ZNF112",0.0423002027671529,0.370312953285768,0.25,0,1
"SCAF8",0.0423325442418686,-0.704193185438753,0,0.2,1
"ZNF25",0.0424037860460958,-0.640402384576803,0.062,0.2,1
"SPAG9",0.0425279525145554,-0.568027273950816,0.438,0.64,1
"CTSA",0.0425414800247033,-0.51013566753195,0,0.24,1
"OGT",0.0428111965506238,-0.64802237366488,0.125,0.28,1
"FGFR2",0.0430948772128534,-0.305029806217774,0,0.2,1
"CXCR5",0.0431179662005877,-0.401164523707671,0,0.2,1
"CSNK2A1",0.0435488196586671,-0.596913774094982,0.062,0.24,1
"WASHC2A",0.0435589607798063,-0.459207797698879,0.062,0.28,1
"PHLPP2",0.0435644313030893,-0.495328876015084,0.062,0.24,1
"FNBP1",0.0437517206310678,-0.749107721355043,0.188,0.48,1
"RNF114",0.0437568873668795,-0.543672712891664,0,0.2,1
"GPR22",0.0438688990780289,-0.61071896896657,0.062,0.28,1
"GLI3",0.0439196681928404,-0.275364475486037,0,0.2,1
"HNRNPLL",0.0439931678503611,-0.520145723060506,0.062,0.24,1
"SF3B1",0.0440013567150343,0.735068802659894,0.5,0.2,1
"MACROD2",0.0444018245918222,-0.55386791366531,0.062,0.28,1
"ADCK1",0.0444254151226458,-0.261582001556223,0,0.16,1
"ZNF667",0.0444909567745163,-0.690355190359107,0.062,0.24,1
"CLIP4",0.0445729521665315,-0.584401157761317,0.062,0.32,1
"NBEAL2",0.044634587218754,0.321133242896329,0.25,0,1
"P2RY1",0.044634587218754,0.321133242896329,0.25,0,1
"NIPA2",0.0446526697784022,-0.344074094802019,0,0.16,1
"WDR43",0.0447809230214326,-0.423316181142421,0,0.2,1
"NARF",0.0447856370509778,0.797093219567847,0.375,0.08,1
"SCNM1",0.0448722342832399,-0.413874456162882,0,0.16,1
"PCCA",0.0449108050293726,-0.439147846186452,0,0.2,1
"ATP6V1H",0.0449978495434083,-0.547843338081558,0.062,0.4,1
"MYH11",0.0453928226302622,0.636647047499611,0.625,0.28,1
"FKBP15",0.0454152839318949,-0.593665794933611,0.062,0.24,1
"SOS1",0.0455196023326633,-0.645698669294657,0.25,0.44,1
"AIMP1",0.0455232508696859,-0.544557525441211,0,0.2,1
"ZMYM2",0.0457433542815727,-0.69444736631788,0.25,0.52,1
"RRP36",0.0458276587365425,-0.363654995686923,0,0.16,1
"BBS9",0.0460275315756256,-0.272283954618323,0,0.16,1
"SPIN4",0.0461776352819797,-0.665127412522008,0,0.16,1
"KCTD9",0.0463567084918593,-0.330496462896586,0,0.2,1
"CCDC82",0.0465739739043239,-0.453586399986714,0,0.16,1
"PHF21B",0.0467738825686205,0.261384419426737,0.25,0,1
"KIF16B",0.0469078306807174,-0.683012274737179,0,0.16,1
"MDM2",0.0469117737582117,-0.681013490233252,0.125,0.32,1
"TACR1",0.0473492598837424,-0.540164614047368,0,0.2,1
"ACTR1A",0.0475719140314692,-0.551439301677733,0,0.2,1
"SLC12A2",0.0476206415765548,-0.421215054865279,0,0.2,1
"GGA3",0.0477431752797747,-0.312212301206914,0,0.16,1
"SPAST",0.0477530963033214,-0.648982334847169,0.062,0.24,1
"ANAPC10",0.0478912236160682,-0.627180237953317,0,0.16,1
"CINP",0.0479315119082225,0.535089600699602,0.375,0.04,1
"CLIC6",0.0480370238762221,-0.280969537058861,0,0.16,1
"MTHFD1",0.0482570759183182,-0.608756732904684,0.125,0.28,1
"PDPR",0.0484368215849173,-0.615705599020407,0.062,0.24,1
"ATP10B",0.0485213034923745,-0.326818389083298,0,0.16,1
"RPUSD3",0.0485252558425237,-0.66118375087805,0.062,0.28,1
"CCDC71L",0.0487578356228075,-0.47590366800858,0,0.2,1
"MAP6",0.0487598220346838,-0.384505378248145,0,0.2,1
"DCAF8",0.0487804535735651,0.527917895566839,0.312,0.04,1
"SV2A",0.0492726266240469,-0.593316350139238,0.438,0.6,1
"HDAC6",0.0494620363807707,-0.542466585453113,0.125,0.28,1
"RAB2A",0.0496273195427155,-0.426599017103358,0,0.16,1
"MPZL1",0.0497971003406449,0.397472624576276,0.25,0,1
"BTF3L4",0.0499047352700054,-0.52676787320558,0,0.2,1
"ZNF774",0.0503788791175617,-0.486592365010926,0.125,0.28,1
"SMC1A",0.0507291141786731,0.745854340704658,0.375,0.08,1
"RGPD2",0.0507946041719477,0.377643785331969,0.25,0,1
"PDE8A",0.0508045691441223,-0.592025715784894,0,0.2,1
"MBD1",0.0512119018541632,-0.508786292111727,0,0.2,1
"ANKRD39",0.0512988193756447,-0.544191949329729,0,0.16,1
"TUBGCP6",0.051348845764664,-0.499581790267674,0,0.2,1
"WNK1",0.0514606597538251,0.591167096456687,0.688,0.4,1
"TIMP2",0.0515098733053523,-0.565703686546162,0,0.16,1
"KIAA1586",0.0517083124168375,-0.525343159336709,0,0.16,1
"HMCN2",0.051927260644875,0.441068040142381,0.375,0.12,1
"TOM1L1",0.0520793397105119,0.645289219758188,0.312,0.04,1
"SLC16A10",0.0523221826323552,-0.443459325614345,0,0.16,1
"TXNL1",0.0523500263714973,-0.501547934773479,0,0.16,1
"DNAJB12",0.0524090585414294,-0.252778551607108,0,0.16,1
"ATP6V1D",0.0524090585414294,-0.252778551607108,0,0.16,1
"ZNF559",0.052498842472381,-0.559497002332264,0,0.16,1
"RPL28",0.0526542794447214,-0.549634950336882,0,0.2,1
"KAT6B",0.0528182737907128,-0.571047512077184,0.188,0.36,1
"MTERF4",0.0528242404798222,-0.341396547139012,0,0.16,1
"TRAF3IP2",0.0528281115522937,-0.588498548315407,0,0.16,1
"CECR2",0.0530757619797229,0.437158511340218,0.25,0,1
"IER5L",0.0533096200799268,-0.439426925446151,0,0.16,1
"ITPRID2",0.0533984171457333,-0.659998952660624,0.125,0.28,1
"SKP2",0.0535260921133308,-0.439704133137794,0,0.16,1
"CEP162",0.0535427947952567,0.938014441227729,0.312,0.08,1
"UTP23",0.0536531743415962,0.783304347238638,0.312,0.12,1
"VPS4A",0.0541695610188727,-0.424527955131552,0,0.2,1
"SAMD12",0.0541901561534263,-0.581445550408218,0.188,0.36,1
"ZNF138",0.0542078782484334,-0.66808449592265,0,0.16,1
"POLR1D",0.0542102966607569,-0.480725797272804,0,0.16,1
"MOB3B",0.0545385616241147,-0.280969537058861,0,0.16,1
"CEP70",0.0547029059372083,-0.30371333942455,0,0.16,1
"HOOK3",0.0547081053655196,0.650767106980748,0.562,0.36,1
"TMEM80",0.0548983878602896,-0.355952918056038,0,0.16,1
"LTBP2",0.0548983878602896,-0.355952918056038,0,0.16,1
"SMURF1",0.0549142065323971,-0.408763552576095,0,0.16,1
"GPM6B",0.054934499712296,-0.425099486219703,0.062,0.24,1
"DYNC1LI1",0.0550356258414314,-0.595404275212324,0.062,0.24,1
"NDUFA3",0.0550918138869571,-0.315415406968486,0,0.16,1
"NBAS",0.0551326262695121,-0.599633309291552,0.062,0.2,1
"BDNF",0.0552669690655158,-0.293242848169134,0,0.16,1
"INTS6",0.0553119616562652,-0.503687660207072,0.125,0.28,1
"CLDND1",0.0553301545783762,-0.444522821816684,0,0.16,1
"PARP2",0.0554140703818381,-0.587050629471354,0.188,0.32,1
"SETD6",0.0554164753911834,-0.448258613482692,0.062,0.24,1
"SIRT1",0.0554606853038334,-0.413097261782549,0,0.16,1
"ARFGEF3",0.0554999041375277,-0.559519934316043,0.312,0.52,1
"ZC3H4",0.0556845283014545,0.671097644869127,0.25,0,1
"WDR82",0.0558961781125142,-0.519946389477813,0,0.2,1
"SNX1",0.0560369624653249,-0.522310413583403,0.125,0.24,1
"DHRS7B",0.0561513191197567,-0.427225686151806,0,0.16,1
"UBE2V2",0.0561568241495685,-0.451306222654295,0,0.16,1
"CEP112",0.0564034065895582,-0.378901638454027,0,0.16,1
"PDE1C",0.0564297227931983,-0.506713151354339,0.125,0.24,1
"CSMD2",0.0564752332636494,0.697432690837152,0.375,0.12,1
"EIF2AK4",0.0566542625186799,-0.420123547818849,0,0.16,1
"TTC5",0.056769309635699,-0.513375350046607,0,0.16,1
"BFAR",0.0569398499365917,-0.286552906473828,0,0.16,1
"RPS6KA2",0.0571767341479684,0.696933709668423,0.5,0.24,1
"SCN2B",0.0572216947639458,-0.421319590816532,0.062,0.2,1
"ELN",0.0572291832459525,-0.483435635074527,0.062,0.28,1
"PSMC6",0.0572333713045424,0.463911803025329,0.25,0,1
"MUC12",0.0573669774566654,0.378795392179005,0.562,0.24,1
"GRIK5",0.0573707982728606,-0.25233697057106,0.062,0.24,1
"RBMS1",0.0574646990452944,0.683288349236293,0.312,0.08,1
"SH3RF3",0.057575716414415,-0.34720731159991,0,0.16,1
"ANKLE2",0.0576164051365006,-0.523875426075493,0.125,0.36,1
"CHCHD6",0.0577537358919664,-0.339276122227377,0,0.16,1
"PDK3",0.0578413824102016,-0.504662904815121,0,0.2,1
"TRIM26",0.05788539678255,-0.36892792943297,0,0.2,1
"RETREG3",0.05788539678255,-0.36892792943297,0,0.2,1
"CPLANE1",0.0582761485992556,0.451972264911535,0.875,0.72,1
"SLC44A1",0.0587346493255293,0.655055003840215,0.375,0.16,1
"USPL1",0.0589093240971944,-0.39317516428612,0,0.16,1
"FSTL5",0.0589411736856276,0.740047610704284,0.562,0.16,1
"HSP90AB1",0.0592010288948612,-0.590868369803534,0.312,0.64,1
"SRSF7",0.0593257242390334,0.867825805706392,0.312,0.12,1
"ZKSCAN7",0.0596457755426634,-0.457579748712015,0.062,0.2,1
"ATP6V1C1",0.059718788074736,-0.442053488256605,0,0.16,1
"COPB1",0.0598112303529912,-0.430664892770808,0.062,0.24,1
"ZC2HC1A",0.0601229150592882,-0.692916248885019,0.062,0.24,1
"CCDC30",0.0606134519373798,-0.443766298540689,0.062,0.24,1
"RAB10",0.0606972711093031,-0.462772588705461,0,0.16,1
"TAF3",0.0607786216259935,-0.404176300619441,0,0.16,1
"MYL6B",0.0608642103269027,-0.446326445839389,0,0.16,1
"PPP1R12A",0.0611663569995512,-0.60382115439141,0.125,0.36,1
"NOL7",0.0613081411021429,0.589048621076275,0.312,0.08,1
"PSMD1",0.0614087856648393,-0.46275555510456,0.125,0.28,1
"DNAJC17",0.0614494397904919,-0.543643376662982,0,0.16,1
"SMOC1",0.0615379003930464,-0.368372703900911,0,0.16,1
"DNAJB4",0.0615390166422515,-0.301803533009051,0,0.16,1
"PPME1",0.0615577547539426,-0.455255106376813,0.062,0.24,1
"SMIM10L2B",0.0615795969787594,-0.514754844504879,0.062,0.28,1
"ZNF785",0.0616220853661254,-0.513045662251233,0.125,0.28,1
"TMEM181",0.0619175935197483,-0.341037379214921,0.062,0.28,1
"TPST1",0.0623144173381615,-0.485609903977344,0.062,0.2,1
"ADGRL3",0.0626954871550846,-0.482587885568884,0.125,0.28,1
"CEP120",0.0627242417988919,0.439874588335435,0.25,0,1
"KCNAB2",0.0631053019273878,-0.379192617480666,0,0.2,1
"PML",0.0632036146477993,0.621786488032223,0.25,0,1
"VKORC1L1",0.0634714697998013,-0.433826209500524,0,0.16,1
"PRNP",0.063473076740991,0.53084077502514,0.688,0.44,1
"CLCN6",0.0635682857696123,0.680194802017941,0.375,0.16,1
"RICTOR",0.0636097030010942,0.610590987820048,0.5,0.2,1
"MAPT",0.0637246187833259,0.584628727516266,0.562,0.32,1
"WASHC2C",0.0638882155896329,-0.305029806217774,0,0.16,1
"TMEM170A",0.0639645660694021,-0.54676221554749,0,0.16,1
"NRIP2",0.0641332851531752,0.422613468194339,0.25,0.04,1
"CNTNAP5",0.0642049935024378,-0.357094051300196,0,0.16,1
"HNRNPDL",0.0644220243107902,-0.62313017747981,0.25,0.6,1
"CDHR1",0.0644282661569013,-0.331657902036666,0,0.2,1
"SRGAP2B",0.06460401319092,-0.32210484589876,0,0.16,1
"TSG101",0.0646416486384052,-0.440659972226849,0,0.16,1
"PTK2",0.0647546255231835,-0.52105057187237,0.062,0.28,1
"EPHA8",0.0648651401392906,0.456220923961252,0.312,0.04,1
"BTAF1",0.0651436243461735,0.783464998888541,0.25,0.04,1
"ADAM19",0.065156102871573,-0.345522084048177,0.062,0.24,1
"ADAMTS19",0.0651877024511639,-0.3783137138197,0,0.16,1
"PIAS1",0.065546683269846,-0.45314040416529,0,0.2,1
"MBTPS1",0.0655721519112013,-0.681407976958043,0.062,0.36,1
"OLA1",0.0656781708145943,-0.304649384558753,0.125,0.32,1
"RNF4",0.0657987925958459,-0.547619780731925,0,0.16,1
"MICALL2",0.0658220506517063,-0.406593658834161,0.062,0.28,1
"ARHGEF25",0.0659014590494314,-0.323845910546652,0,0.16,1
"MAP1LC3B",0.0659267595384697,-0.498918051115722,0.062,0.2,1
"SLC30A4",0.0659295187950375,-0.309368088447529,0.062,0.24,1
"ZNF44",0.0659827671494752,-0.397546441412583,0,0.16,1
"NCOA7",0.0660117751078973,-0.616053005233593,0.125,0.32,1
"BAIAP2",0.0661369923336468,-0.492012289457628,0.125,0.28,1
"NSG2",0.0662058501075167,-0.540519409969313,0.062,0.28,1
"CARD8",0.0662398456783369,0.675449253429638,0.25,0,1
"RGPD4",0.0662596193893492,0.279703556218492,0.312,0.04,1
"PARP11",0.066322081069687,-0.563000961742911,0,0.16,1
"NOP56",0.0664691397464865,0.807511296200803,0.438,0.12,1
"ZNF565",0.0665808782471173,-0.435490584189587,0,0.16,1
"CIRBP",0.0665816706250394,-0.588379206657624,0.25,0.52,1
"NPTXR",0.0666184634497472,-0.543582644369146,0.125,0.24,1
"FOXJ3",0.0666216030655433,-0.563145836440749,0.062,0.24,1
"HADHA",0.0667404602633455,-0.721776192782169,0,0.16,1
